VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A012398,"Quiflor 20 mg/ml Solution for Injection for Cattle, Pigs and Dogs","Krka d.d., Novo Mesto",01656/4060,2022-05-23,Mutually Recognised,Northern Ireland,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318546.PDF
A007933,"Quiflor 20 mg/ml Solution for Injection for Cattle, Pigs and Dogs","Krka d.d., Novo Mesto",01656/4060,2022-05-23,National,Great Britain,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318546.PDF
A007935,Quiflor S 100 mg/ml Solution for Injection for Cattle,"Krka d.d., Novo Mesto",01656/4061,2021-02-19,National,Great Britain,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318555.PDF
A012401,Quiflor S 100 mg/ml Solution for Injection for Cattle,"Krka d.d., Novo Mesto",01656/4061,2021-02-19,Mutually Recognised,Northern Ireland,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318555.PDF
A011951,Fyperix Combo 134 mg/ 120.6 mg Spot-on Solution for Medium Dogs,"Krka d.d., Novo Mesto",01656/4105,2023-11-29,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_982748.PDF
A009349,Fyperix Combo 134 mg/ 120.6 mg Spot-on Solution for Medium Dogs,"Krka d.d., Novo Mesto",01656/4105,2023-11-29,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_982748.PDF
A009350,Fyperix Combo 268 mg/ 241.2 mg Spot-on Solution for Large Dogs,"Krka d.d., Novo Mesto",01656/4106,2023-11-29,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983027.PDF
A011952,Fyperix Combo 268 mg/ 241.2 mg Spot-on Solution for Large Dogs,"Krka d.d., Novo Mesto",01656/4106,2023-11-29,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983027.PDF
A011953,Fyperix Combo 402 mg/ 361.8 mg Spot-on Solution for Extra Large Dogs,"Krka d.d., Novo Mesto",01656/4107,2023-11-29,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983426.PDF
A009351,Fyperix Combo 402 mg/ 361.8 mg Spot-on Solution for Extra Large Dogs,"Krka d.d., Novo Mesto",01656/4107,2023-11-29,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983426.PDF
A009347,Fyperix Combo 50 mg/60 mg Spot-on Solution for Cats and Ferrets,"Krka d.d., Novo Mesto",01656/4108,2023-11-29,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983505.PDF
A011954,Fyperix Combo 50 mg/60 mg Spot-on Solution for Cats and Ferrets,"Krka d.d., Novo Mesto",01656/4108,2023-11-29,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983505.PDF
A011955,Fyperix Combo 67 mg/ 60.3 mg Spot-on Solution for Small Dogs,"Krka d.d., Novo Mesto",01656/4109,2023-11-29,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983795.PDF
A009348,Fyperix Combo 67 mg/ 60.3 mg Spot-on Solution for Small Dogs,"Krka d.d., Novo Mesto",01656/4109,2023-11-29,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_983795.PDF
A009759,Santiola 50 mg/ml Solution for Injection for Cattle and Sheep,"Krka d.d., Novo Mesto",01656/4118,2021-11-30,National,Great Britain,Closantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1325633.PDF
A012439,Santiola 50 mg/ml Solution for Injection for Cattle and Sheep,"Krka d.d., Novo Mesto",01656/4118,2021-11-30,Mutually Recognised,Northern Ireland,Closantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1325633.PDF
A009352,Amflee Combo 50 mg/60 mg Spot-on Solution for Cats and Ferrets,"Krka d.d., Novo Mesto",01656/5039,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1015141.PDF
A009353,Amflee Combo 67 mg/ 60.3 mg Spot-on Solution for Small Dogs,"Krka d.d., Novo Mesto",01656/5040,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1015173.PDF
A009354,Amflee Combo 134 mg/ 120.6 mg Spot-on Solution for Medium Dogs,"Krka d.d., Novo Mesto",01656/5041,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1014755.PDF
A009355,Amflee Combo 268 mg/ 241.2 mg Spot-on Solution for Large Dogs ,"Krka d.d., Novo Mesto",01656/5042,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1014894.PDF
A009356,Amflee Combo 402 mg/ 361.8 mg Spot-on Solution for Extra Large Dogs,"Krka d.d., Novo Mesto",01656/5043,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1015031.PDF
A009900,Katkin 50 mg/60 mg Spot-on Solution for Cats ,"Krka d.d., Novo Mesto",01656/5044,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1353999.PDF
A009901,Dadektin Combo 67 mg/ 60.3 mg Spot-on Solution for Small Dogs,"Krka d.d., Novo Mesto",01656/5045,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1354024.PDF
A009902,Dadektin Combo 134 mg/ 120.6 mg Spot-on Solution for Medium Dogs,"Krka d.d., Novo Mesto",01656/5046,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1353460.PDF
A009903,Dadektin Combo 268 mg/ 241.2 mg Spot-on Solution for Large Dogs,"Krka d.d., Novo Mesto",01656/5047,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1353574.PDF
A009904,Dadektin Combo 402 mg/ 361.8 mg Spot-on Solution for Extra Large Dogs ,"Krka d.d., Novo Mesto",01656/5048,2023-07-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1353781.PDF
A001937,"Delvosteron 100 mg/ml, Suspension for Injection",MSD Animal Health UK Limited,01708/4321,2024-02-19,National (Informed Consent),United Kingdom,Proligestone,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138352.PDF
A002407,Nobilis Reo + IB + G + ND,MSD Animal Health UK Limited,01708/4332,2024-03-21,National,United Kingdom,"Avian reovirus, Infectious bronchitis virus, Infectious bursal disease virus, Newcastle disease virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141937.PDF
A003805,Nobilis IBmulti + ND + EDS,MSD Animal Health UK Limited,01708/4367,2024-03-21,National,United Kingdom,"Egg drop syndrome virus, Infectious bronchitis virus, Newcastle disease virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124294.PDF
A003157,Nobilis Salenvac,MSD Animal Health UK Limited,01708/4389,2024-03-21,National,Great Britain,Salmonella enteritidis,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_105719.PDF
A012174,Nobilis Salenvac,MSD Animal Health UK Limited,01708/4389,2024-03-21,Mutually Recognised,Northern Ireland,Salmonella enteritidis,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_105719.PDF
A003380,Vasotop 5 mg Tablets,MSD Animal Health UK Limited,01708/4400,2024-02-19,National,United Kingdom,Ramipril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138487.PDF
A003381,Vasotop 1.25 mg Tablets,MSD Animal Health UK Limited,01708/4403,2024-02-19,National,United Kingdom,Ramipril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124327.PDF
A003382,Vasotop 2.5 mg Tablets,MSD Animal Health UK Limited,01708/4404,2024-02-19,National,United Kingdom,Ramipril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138491.PDF
A002627,"Aludex 50 g/l, Concentrate for Cutaneous Solution",MSD Animal Health UK Limited,01708/4408,2021-06-16,National,United Kingdom,Amitraz,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140119.PDF
A003150,Foston 20% w/v Solution for Injection,MSD Animal Health UK Limited,01708/4426,2021-06-22,National,United Kingdom,Toldimphos Sodium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_148570.PDF
A002343,"Cobactan LC, 75 mg, Intramammary Ointment for Lactating Cattle",MSD Animal Health UK Limited,01708/4451,2020-05-07,Mutually Recognised,,Cefquinome,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137989.PDF
A002525,Cobactan 2.5% w/v Suspension for Injection for Cattle and Pigs,MSD Animal Health UK Limited,01708/4452,2020-05-07,Mutually Recognised,,Cefquinome,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137864.PDF
A001681,Blackleg Vaccine,MSD Animal Health UK Limited,01708/4507,2020-06-04,National,United Kingdom,Clostridium chauvoei,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139704.PDF
A002924,Tribovax T,MSD Animal Health UK Limited,01708/4554,2020-05-01,National,United Kingdom,"Clostridium chauvoei, Clostridium haemolyticum, Clostridium novyi, Clostridium septicum, Clostridium tetani",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141249.PDF
A002975,Louping-Ill Vaccine,MSD Animal Health UK Limited,01708/4555,2020-06-04,National,United Kingdom,Louping Ill virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141251.PDF
A002989,Oxytetrin 20 LA 200 mg/ml Solution for Injection,MSD Animal Health UK Limited,01708/4563,2019-10-14,National (Informed Consent),United Kingdom,Oxytetracycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140695.PDF
A003900,AquaVac FNM Plus Emulsion for Injection for Fish,MSD Animal Health UK Limited,01708/4566,2022-10-04,National,Great Britain,Aeromonas salmonicida subsp. salmonicida,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_122154.PDF
A011375,AquaVac FNM Plus Emulsion for Injection for Fish,MSD Animal Health UK Limited,01708/4566,2022-10-04,Mutually Recognised,Northern Ireland,Aeromonas salmonicida subsp. salmonicida,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_122154.PDF
A011380,AquaVac Vibrio Oral,MSD Animal Health UK Limited,01708/4570,2022-03-15,Mutually Recognised,Northern Ireland,Listonella anguillarum,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_159196.PDF
A006815,AquaVac Vibrio Oral,MSD Animal Health UK Limited,01708/4570,2022-03-15,National,Great Britain,Listonella anguillarum,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_159196.PDF
A004116,"AquaVac ERM Oral, Oral Emulsion for Rainbow Trout",MSD Animal Health UK Limited,01708/4571,2022-03-15,National,Great Britain,Yersinia ruckeri,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_133258.PDF
A011374,"AquaVac ERM Oral, Oral Emulsion for Rainbow Trout",MSD Animal Health UK Limited,01708/4571,2022-03-15,Mutually Recognised,Northern Ireland,Yersinia ruckeri,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_133258.PDF
A011467,Bravoxin 10 Suspension for Injection for Cattle and Sheep,MSD Animal Health UK Limited,01708/4585,2024-03-06,Mutually Recognised (Informed Consent),Northern Ireland,"Clostridium chauvoei, Clostridium haemolyticum, Clostridium novyi, Clostridium perfringens, Clostridium septicum, Clostridium sordellii, Clostridium tetani",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_230675.PDF
A008309,Kepravine Dry Cow 250 mg Intramammary Suspension,MSD Animal Health UK Limited,01708/4587,2020-05-07,Mutually Recognised,,Cephalonium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_404523.PDF
A002999,Tribrissen 48% Suspension for Injection,MSD Animal Health UK Limited,01708/4593,2020-04-21,National,United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_82988.PDF
A005846,Nuflor Swine 300 mg/ml Solution for Injection,MSD Animal Health UK Limited,01708/4594,2020-05-07,Mutually Recognised,,Florfenicol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132092.PDF
A000881,Coopers Fly Repellent Plus 1.05% Cutaneous Emulsion for Horses,MSD Animal Health UK Limited,01708/4596,2022-03-15,National,United Kingdom,"Citronellol, Permethrin (cis:trans 25:75)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138082.PDF
A002906,Crystapen 5 Mega Units 3g Powder for Solution for Injection,MSD Animal Health UK Limited,01708/4597,2021-03-30,National,United Kingdom,Benzylpenicillin Sodium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138085.PDF
A008645,Porceptal 4 micrograms/ml Solution for Injection for Pigs,MSD Animal Health UK Limited,01708/4604,2020-05-07,Mutually Recognised,,Buserelin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_527410.PDF
A012177,Nobilis SE Live Lyophilisate for Use in Drinking Water for Chickens ,MSD Animal Health UK Limited,01708/4611,2024-03-21,Mutually Recognised,Northern Ireland,Salmonella enteritidis,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1411249.PDF
A009779,Nobilis SE Live Lyophilisate for Use in Drinking Water for Chickens ,MSD Animal Health UK Limited,01708/4611,2024-03-21,National,Great Britain,Salmonella enteritidis,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1411249.PDF
A009597,Aquavac PD Emulsion for Injection for Atlantic Salmon,MSD Animal Health UK Limited,01708/4614,2021-08-18,National,Great Britain,Salmon pancreas disease virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1216172.PDF
A011376,Aquavac PD Emulsion for Injection for Atlantic Salmon,Intervet International BV,01708/4614,2021-08-18,Mutually Recognised,Northern Ireland,Salmon pancreas disease virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1216172.PDF
A006734,Nobilis Influenza,MSD Animal Health UK Limited,01708/4625,2024-02-19,National (Provisional MA),United Kingdom,Avian influenza virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_144735.PDF
A008158,Activyl 100 mg Spot-on Solution for Small Cats,MSD Animal Health UK Limited,01708/5000,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A007772,Activyl 100 mg Spot-on Solution for Very Small Dogs,MSD Animal Health UK Limited,01708/5001,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008154,Activyl 150 mg Spot-on Solution for Small Dogs,MSD Animal Health UK Limited,01708/5002,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008159,Activyl 200 mg Spot-on Solution for Large Cats,MSD Animal Health UK Limited,01708/5003,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008155,Activyl 300 mg Spot-On Solution for Medium Dogs,MSD Animal Health UK Limited,01708/5004,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008156,Activyl 600 mg Spot-On Solution for Large Dogs,MSD Animal Health UK Limited,01708/5005,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008157,Activyl 900 mg Spot-on Solution for Extra Large Dogs,MSD Animal Health UK Limited,01708/5006,2024-02-08,National,Great Britain,Indoxacarb,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008390,Activyl Tick Plus 150 mg + 480 mg Spot-on Solution for Small Dogs,MSD Animal Health UK Limited,01708/5007,2023-11-29,National,Great Britain,"Indoxacarb, Permethrin (Cis:Trans 40:60)",https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008391,Activyl Tick Plus 300 mg + 960 mg Spot-On Solution for Medium Dogs,MSD Animal Health UK Limited,01708/5008,2023-11-29,National,Great Britain,"Indoxacarb, Permethrin (Cis:Trans 40:60)",https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008392,Activyl Tick Plus 600 mg + 1920 mg Spot-on Solution for Large Dogs,MSD Animal Health UK Limited,01708/5009,2023-11-29,National,Great Britain,"Indoxacarb, Permethrin (Cis:Trans 40:60)",https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008148,Activyl Tick Plus 75 mg + 240 mg Spot-on Solution for Very Small Dogs,MSD Animal Health UK Limited,01708/5010,2023-11-29,National,Great Britain,"Indoxacarb, Permethrin (Cis:Trans 40:60)",https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008393,Activyl Tick Plus 900 mg + 2880 mg Spot-on Solution for Extra Large Dogs,MSD Animal Health UK Limited,01708/5011,2023-11-29,National,Great Britain,"Indoxacarb, Permethrin (Cis:Trans 40:60)",https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A007335,Bovilis BTV8 Suspension for Injection for Cattle and Sheep,MSD Animal Health UK Limited,01708/5013,2022-10-04,National,Great Britain,Bluetongue virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A006562,Nobilis OR Inac Emulsion for Injection for Chickens,MSD Animal Health UK Limited,01708/5045,2024-02-08,National,Great Britain,Ornithobacterium rhinotracheale,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2305694.PDF
A001335,Devomycin 250 mg/ml Solution for Injection,Norbrook Laboratories Limited,02000/4018,2019-07-04,National,United Kingdom,Streptomycin Sulphate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_143890.PDF
A001760,Ketosaid 99.96% w/w Oral Solution,Norbrook Laboratories Limited,02000/4072,2024-02-19,National,United Kingdom,Propylene Glycol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139582.PDF
A000738,Liquid Life-Aid Oral Solution,Norbrook Laboratories Limited,02000/4074,2022-07-11,National,United Kingdom,"Glucose Monohydrate, Glycine, Potassium Dihydrogen Phosphate, Sodium Chloride, Sodium Propionate",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_95257.PDF
A001001,Norodine 80 Tablets,Norbrook Laboratories Limited,02000/4085,2021-06-09,National,United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_256854.PDF
A000910,Betamox 200 mg Palatable Tablets,Norbrook Laboratories Limited,02000/4103,2021-06-30,National,United Kingdom,Amoxicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138591.PDF
A001286,Norodine Granules,Norbrook Laboratories Limited,02000/4114,2021-06-09,National,United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139286.PDF
A001088,Vitesel Emulsion for Injection,Norbrook Laboratories Limited,02000/4115,2024-02-19,National,United Kingdom,"Alpha Tocopheryl Acetate, Selenium",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139209.PDF
A001141,"Intravit 12 Solution for Injection, 0.05% w/v",Norbrook Laboratories Limited,02000/4116,2021-06-09,National,United Kingdom,Cyanocobalamin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140591.PDF
A001200,Combivit Solution for Injection,Norbrook Laboratories Limited,02000/4118,2021-06-09,National,United Kingdom,"Ascorbic Acid, Nicotinamide, Pyridoxine Hydrochloride, Riboflavine Sodium Phosphate, Thiamine Hydrochloride",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140966.PDF
A000463,Parafend 2.265% w/v Oral Suspension,Norbrook Laboratories Limited,02000/4119,2022-07-11,National,United Kingdom,Oxfendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139205.PDF
A001412,Calciject 20 CM Solution for Injection,Norbrook Laboratories Limited,02000/4120,2020-04-17,National,United Kingdom,"Boric Acid, Calcium, Magnesium",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139710.PDF
A000464,Parafend LV 9.06% w/v Oral Suspension,Norbrook Laboratories Limited,02000/4121,2019-07-04,National,United Kingdom,Oxfendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139253.PDF
A001916,Parafend SC Oral Suspension for Sheep,Norbrook Laboratories Limited,02000/4130,2020-04-17,National,United Kingdom,"Cobalt, Oxfendazole",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139199.PDF
A002887,Amoxycare Suspension for Injection 15% w/v,Norbrook Laboratories Limited,02000/4140,2022-07-11,National (Informed Consent),United Kingdom,Amoxicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138700.PDF
A002832,Amoxycare LA Suspension for Injection 15% w/v,Norbrook Laboratories Limited,02000/4141,2022-07-11,National (Informed Consent),United Kingdom,Amoxicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140573.PDF
A002830,Amoxycare 40 mg Tablets,Norbrook Laboratories Limited,02000/4142,2021-06-09,National (Informed Consent),United Kingdom,Amoxicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138618.PDF
A002873,Amoxycare 200 mg Tablets,Norbrook Laboratories Limited,02000/4143,2021-06-09,National (Informed Consent),United Kingdom,Amoxicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138597.PDF
A002831,Trimacare 24% Solution for Injection,Norbrook Laboratories Limited,02000/4145,2022-07-11,National (Informed Consent),United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138200.PDF
A002915,Trimacare 20 Tablets,Norbrook Laboratories Limited,02000/4146,2021-06-09,National (Informed Consent),United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138185.PDF
A005043,Trimacare 80 Tablets for Dogs,Norbrook Laboratories Limited,02000/4147,2021-06-09,National (Informed Consent),United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139407.PDF
A003088,Trimacare Tablets Bolus,Norbrook Laboratories Limited,02000/4148,2021-06-09,National (Informed Consent),United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139260.PDF
A003074,Streptacare Suspension for Injection,Norbrook Laboratories Limited,02000/4155,2022-07-11,National (Informed Consent),United Kingdom,"Dihydrostreptomycin Sulphate, Procaine Benzylpenicillin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141300.PDF
A003075,"Oxycare 200 mg/ml LA Solution for Injection for Cattle, Sheep and Pigs",Norbrook Laboratories Limited,02000/4156,2022-07-11,National (Informed Consent),United Kingdom,Oxytetracycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137719.PDF
A003829,Wormazole 220 mg Granules for Dogs,Norbrook Laboratories Limited,02000/4158,2022-07-11,National,United Kingdom,Fenbendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138418.PDF
A003032,Oxycare 3.6% w/w Cutaneous Spray Solution,Norbrook Laboratories Limited,02000/4164,2019-10-02,National (Informed Consent),United Kingdom,Oxytetracycline Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140488.PDF
A005015,Calciject 20 CMD Solution for Injection,Norbrook Laboratories Limited,02000/4189,2024-02-19,National,United Kingdom,"Boric Acid, Calcium, Glucose, Magnesium",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138671.PDF
A005027,Endoworm 2.265% w/v Oral Suspension,Norbrook Laboratories Limited,02000/4190,2022-07-11,National (Informed Consent),United Kingdom,Oxfendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138750.PDF
A004800,Anofline Lactating Cow Intramammary Suspension,Norbrook Laboratories Limited,02000/4199,2020-12-09,National,United Kingdom,"Amoxicillin, Clavulanic Acid, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138492.PDF
A05251,Dunlop's 20% w/v PMD Solution for Injection,Norbrook Laboratories Limited,02000/4206,2020-04-17,National (Informed Consent),United Kingdom,"Boric Acid, Calcium, Glucose, Magnesium",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_148567.PDF
A005580,Dunlop's 40 CM Solution For Injection,Norbrook Laboratories Limited,02000/4216,2022-07-11,National (Informed Consent),United Kingdom,"Boric Acid, Calcium, Magnesium",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139068.PDF
A005653,Anivit 4BC Solution For Injection,Norbrook Laboratories Limited,02000/4219,2021-06-09,National (Informed Consent),United Kingdom,"Ascorbic Acid, Nicotinamide, Pyridoxine Hydrochloride, Riboflavine Sodium Phosphate, Thiamine Hydrochloride",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138530.PDF
