VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A012187,Norbrook Deltamethrin 10 mg/ml Spot-on Solution for Cattle and Sheep,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4383,2014-08-19,Mutually Recognised,Northern Ireland,Deltamethrin,N,"Cattle, Sheep",POM-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_648253.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_721260.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_887961.PDF
A008774,Norbrook Deltamethrin 10 mg/ml Spot-on Solution for Cattle and Sheep,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4383,2014-08-19,National,Great Britain,Deltamethrin,N,"Cattle, Sheep",POM-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_648253.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_721260.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_887961.PDF
A008809,"Fiproclear 2.5 mg/ml Cutaneous Spray, Solution for Cats and Dogs",Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4385,2014-08-27,National,Great Britain,Fipronil,N,"Cats, Dogs",NFA-VPS,"Cutaneous spray, solution",Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_633981.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_741674.PDF
A011842,"Fiproclear 2.5 mg/ml Cutaneous Spray, Solution for Cats and Dogs",Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4385,2014-08-27,Mutually Recognised,Northern Ireland,Fipronil,N,"Cats, Dogs",NFA-VPS,"Cutaneous spray, solution",Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_633981.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_741674.PDF
A008902,"Cefimam LC, 75 mg Intramammary Ointment for Lactating Cows",Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4387,2014-09-09,National,Great Britain,Cefquinome,N,Cattle,POM-V,Intramammary ointment,Antimicrobial intramammary,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_675025.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_723380.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1484359.PDF
A011540,"Cefimam LC, 75 mg Intramammary Ointment for Lactating Cows",Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4387,2014-09-09,Mutually Recognised,Northern Ireland,Cefquinome,N,Cattle,POM-V,Intramammary ointment,Antimicrobial intramammary,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_675025.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_723380.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1484359.PDF
A012245,Peptizole 370 mg/g Oral Paste for Horses,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4389,2014-03-04,Mutually Recognised,Northern Ireland,Omeprazole,N,Horses,POM-V,Oral paste,Gastrointestinal,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_578304.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995349.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_649352.PDF
A008925,Peptizole 370 mg/g Oral Paste for Horses,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4389,2014-03-04,National,Great Britain,Omeprazole,N,Horses,POM-V,Oral paste,Gastrointestinal,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_578304.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995349.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_649352.PDF
A008926,Ulcergold 370 mg/g Oral Paste for Horses,Norbrook Laboratories Limited,<span>Zoetis UK Limited</span>,02000/4390,2014-05-07,National,Great Britain,Omeprazole,N,Horses,POM-V,Oral paste,Gastrointestinal,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_617102.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992624.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_655449.PDF
A012605,Ulcergold 370 mg/g Oral Paste for Horses,Norbrook Laboratories Limited,<span>Zoetis UK Limited</span>,02000/4390,2014-05-07,Mutually Recognised,Northern Ireland,Omeprazole,N,Horses,POM-V,Oral paste,Gastrointestinal,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_617102.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992624.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_655449.PDF
A009075,"Marbodex Aural Ear Drops, Suspension for Dogs",Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4392,2015-08-24,National,Great Britain,"Clotrimazole, Dexamethasone, Marbofloxacin",N,Dogs,POM-V,"Ear drops, suspension",Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_819726.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_879054.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1150552.PDF
A012061,"Marbodex Aural Ear Drops, Suspension for Dogs",Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4392,2015-08-24,Mutually Recognised,Northern Ireland,"Clotrimazole, Dexamethasone, Marbofloxacin",N,Dogs,POM-V,"Ear drops, suspension",Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_819726.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_879054.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1150552.PDF
A011539,"Cefimam DC, 150 mg Intramammary Ointment for Dry Cows",Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4393,2015-02-20,Mutually Recognised,Northern Ireland,Cefquinome,N,Cattle,POM-V,Intramammary ointment,Antimicrobial intramammary,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_739522.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986622.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_767897.PDF
A009175,"Cefimam DC, 150 mg Intramammary Ointment for Dry Cows",Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4393,2015-02-20,National,Great Britain,Cefquinome,N,Cattle,POM-V,Intramammary ointment,Antimicrobial intramammary,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_739522.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986622.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_767897.PDF
A009226,Norbrook Meloxicam 0.5mg/ml Oral Suspension for Cats,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4395,2016-02-11,National,United Kingdom,Meloxicam,N,Cats,POM-V,Oral suspension,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_943949.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_974302.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1071238.PDF
A009227,Norbrook Meloxicam 1.5mg/ml Oral Suspension for Dogs,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4396,2016-02-11,National,United Kingdom,Meloxicam,N,Dogs,POM-V,Oral suspension,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_944151.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_970648.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1071245.PDF
A009228,Norbrook Meloxicam 5 mg/ml Solution for Injection for Dogs and Cats,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4397,2016-02-11,National,United Kingdom,Meloxicam,N,"Cats, Dogs",POM-V,Solution for injection,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_944257.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_970652.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1381145.PDF
A009289,Thyronorm 5 mg/ml Oral Solution for Cats,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4399,2016-06-03,National,Great Britain,Thiamazole,N,Cats,POM-V,Oral solution,Anti Hormone Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_997438.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1040289.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1451579.PDF
A012547,Thyronorm 5 mg/ml Oral Solution for Cats,Norbrook Laboratories Limited,"<span>Norbrook Laboratories GB Ltd., </span>",02000/4399,2016-06-03,Mutually Recognised,Northern Ireland,Thiamazole,N,Cats,POM-V,Oral solution,Anti Hormone Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_997438.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1040289.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1451579.PDF
A009291,Normazole 5 mg/ml Oral Solution for Cats,Norbrook Laboratories Limited,<span>Independent Vetcare Ltd.</span>,02000/4400,2016-05-19,National,Great Britain,Thiamazole,N,Cats,POM-V,Oral solution,Anti Hormone Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_989799.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1543984.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1526104.PDF
A012191,Normazole 5 mg/ml Oral Solution for Cats,Norbrook Laboratories Limited,<span>Independent Vetcare Ltd.</span>,02000/4400,2016-05-19,Mutually Recognised,Northern Ireland,Thiamazole,N,Cats,POM-V,Oral solution,Anti Hormone Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_989799.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1543984.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1526104.PDF
A009406,Solantel 50mg/ml Oral Suspension for Sheep,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4402,2016-08-04,National,Great Britain,Closantel,N,Sheep,POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1027058.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1052713.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1226802.PDF
A012487,Solantel 50mg/ml Oral Suspension for Sheep,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4402,2016-08-04,Mutually Recognised,Northern Ireland,Closantel,N,Sheep,POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1027058.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1052713.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1226802.PDF
A011430,Betafuse 1 mg/g + 5 mg/g Gel for Dogs,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4404,2016-08-02,Mutually Recognised,Northern Ireland,"Betamethasone, Fusidic Acid",N,Dogs,POM-V,Gel,Antimicrobial; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1026567.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1062381.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1359875.PDF
A009433,Betafuse 1 mg/g + 5 mg/g Gel for Dogs,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4404,2016-08-02,National,Great Britain,"Betamethasone, Fusidic Acid",N,Dogs,POM-V,Gel,Antimicrobial; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1026567.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1062381.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1359875.PDF
A009434,Fuselieve 1 mg/g + 5 mg/g Gel for Dogs,Norbrook Laboratories Limited,<span>CVS UK Ltd. </span>,02000/4405,2016-08-02,National,Great Britain,"Betamethasone, Fusidic Acid",N,Dogs,POM-V,Gel,Antimicrobial; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1025969.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1574846.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1359878.PDF
A011945,Fuselieve 1 mg/g + 5 mg/g Gel for Dogs,Norbrook Laboratories Limited,<span>CVS UK Ltd. </span>,02000/4405,2016-08-02,Mutually Recognised,Northern Ireland,"Betamethasone, Fusidic Acid",N,Dogs,POM-V,Gel,Antimicrobial; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1025969.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1574846.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1359878.PDF
A009460,Tauramox 5 mg/ml Pour-On Solution for Cattle,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4406,2018-03-22,National,Great Britain,Moxidectin,N,Cattle,POM-VPS,Pour-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1349268.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1387883.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1305105.PDF
A012533,Tauramox 5 mg/ml Pour-On Solution for Cattle,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4406,2018-03-22,Mutually Recognised,Northern Ireland,Moxidectin,N,Cattle,POM-VPS,Pour-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1349268.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1387883.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1305105.PDF
A009560,Fiproclear Combo 50 mg / 60 mg Spot-on Solution for Cats and Ferrets ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4407,2017-04-19,National,Great Britain,"(S)-Methoprene, Fipronil",N,"Cats, Ferrets",NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1165194.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985176.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315241.PDF
A011850,Fiproclear Combo 50 mg / 60 mg Spot-on Solution for Cats and Ferrets ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4407,2017-04-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,"Cats, Ferrets",NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1165194.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985176.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315241.PDF
A011851,Fiproclear Combo 67 mg / 60.3 mg Spot-on Solution for Small Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4408,2017-04-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1165538.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985198.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315235.PDF
A009562,Fiproclear Combo 67 mg / 60.3 mg Spot-on Solution for Small Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4408,2017-04-19,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1165538.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985198.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315235.PDF
A009563,Fiproclear Combo 134 mg / 120.6 mg Spot-on Solution for Medium Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4409,2017-04-19,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1165775.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985112.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315250.PDF
A011847,Fiproclear Combo 134 mg / 120.6 mg Spot-on Solution for Medium Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4409,2017-04-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1165775.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985112.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315250.PDF
A011848,Fiproclear Combo 268 mg / 241.2 mg Spot-on Solution for Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4410,2017-04-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1166430.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985121.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315248.PDF
A009564,Fiproclear Combo 268 mg / 241.2 mg Spot-on Solution for Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4410,2017-04-19,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1166430.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985121.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315248.PDF
A009565,Fiproclear Combo 402 mg / 361.8 mg Spot-on Solution for Very Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4411,2017-04-19,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1166575.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985136.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315245.PDF
A011849,Fiproclear Combo 402 mg / 361.8 mg Spot-on Solution for Very Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4411,2017-04-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,NFA-VPS,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1166575.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985136.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315245.PDF
A011895,Fleanil Duo 50 mg / 60 mg Spot-on Solution for Cats and Ferrets ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4412,2017-04-24,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,"Cats, Ferrets",AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1171175.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640335.PDF
A009566,Fleanil Duo 50 mg / 60 mg Spot-on Solution for Cats and Ferrets ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4412,2017-04-24,National,Great Britain,"(S)-Methoprene, Fipronil",N,"Cats, Ferrets",AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1171175.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640335.PDF
A009567,Fleanil Duo 67 mg / 60.3 mg Spot-on Solution for Small Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4413,2017-04-24,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1171249.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985390.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640412.PDF
A011896,Fleanil Duo 67 mg / 60.3 mg Spot-on Solution for Small Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4413,2017-04-24,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1171249.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985390.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640412.PDF
A011892,Fleanil Duo 134 mg / 120.6 mg Spot-on Solution for Medium Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4414,2017-04-24,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1169387.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985366.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640120.PDF
A009568,Fleanil Duo 134 mg / 120.6 mg Spot-on Solution for Medium Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4414,2017-04-24,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1169387.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985366.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640120.PDF
A009569,Fleanil Duo 268 mg / 241.2 mg Spot-on Solution for Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4415,2017-04-24,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1170162.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985374.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640140.PDF
A011893,Fleanil Duo 268 mg / 241.2 mg Spot-on Solution for Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4415,2017-04-24,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1170162.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985374.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640140.PDF
